type;fixedacidity;volatileacidity;citricacid;residualsugar;chlorides;freesulfurdioxide;totalsulfurdioxide;density;pH;sulphates;alcohol;quality;qualitygoodornot
white;7;,27;,36;20,7;,045;45;170;1,001;3;,45;8,8;6;0
white;6,3;,3;,34;1,6;,049;14;132;,994;3,3;,49;9,5;6;0
white;8,1;,28;,4;6,9;,05;30;97;,9951;3,26;,44;10,1;6;0
white;7,2;,23;,32;8,5;,058;47;186;,9956;3,19;,4;9,9;6;0
white;7,2;,23;,32;8,5;,058;47;186;,9956;3,19;,4;9,9;6;0
white;8,1;,28;,4;6,9;,05;30;97;,9951;3,26;,44;10,1;6;0
white;6,2;,32;,16;7;,045;30;136;,9949;3,18;,47;9,6;6;0
white;7;,27;,36; ;,045;45;170;1,001;3;,45;8,8;6;0
white;6,3;,3;,34;1,6;,049;14;132;,994;3,3;,49;9,5;6;0
white;8,1;,22;,43;1,5;,044; ;129;,9938; ;,45;11;6;0
white;8,1;,27;,41;1,45;,033;11;63;,9908;2,99;,56;12;5;0
white;8,6;,23;,4;4,2;,035;17;109;,9947;3,14;,53;9,7;5;0
white;7,9;,18;,35;1,2;,04;16;75;,992;3,18; ;10,8;5;0
white;6,6;,16;,4;1,5;,044;48;143;,9912;3,54;,52;12,4;7;1
white;8,3;,42;,62;19,25;,04;41;172;1,0002;2,98;,67;9,7;5;0
white;6,6;,17;,38;1,5;,032;28;112;,9914;3,25;,55;11,4;7;1
white;6,3;,48;,04;1,1;,046;30;99;,9928;3,24;,36;9,6;6;0
white;6,2;,66;,48;1,2;,029;29;75;,9892;3,33;,39;12,8;8;1
white;7,4;,34;,42;1,1;,033;17;171;,9917;3,12;,53;11,3;6;0
white;6,5;,31;,14;7,5;,044;34;133;,9955;3,22;,5;9,5;5;0
white;6,2;,66;,48;1,2;,029;29;75;,9892;3,33;,39;12,8;6;0
white;6,4;,31;,38;2,9;,038;19;102;,9912;3,17;,35;11;7;1
white;6,8;,26;,42;1,7;,049;41;122;,993;3,47;,48;10,5;8;1
white;7,6;,67;,14;1,5;,074;25;168;,9937;3,05;,51;9,3;5;0
white;6,6;,27;,41;1,3;,052;16;142;,9951;3,42;,47;10;6;0
white;7;,25;,32;9;,046;56;245;,9955;3,25;,5;10,4;6;0
white;6,9;,24;,35;1;,052;35;146;,993;3,45;,44;10;6;0
white;7;,28;,39;8,7;,051;32;141;,9961;3,38;,53;10,5;6;0
white;7,4;,27;,48;1,1;,047;17;132;,9914;3,19;,49;11,6;6;0
white;7,2;,32;,36;2;,033;37;114;,9906;3,1;,71;12,3;7;1
white;8,5;,24;,39;10,4;,044;20;142;,9974;3,2;,53;10;6;0
white;8,3;,14;,34;1,1;,042;7;47;,9934;3,47;,4;10,2;6;0
white;7,4;,25;,36;2,05;,05;31;100;,992;3,19;,44;10,8;6;0
white;6,2;,12;,34;1,5;,045;43;117;,9939;3,42;,51;9;6;0
white;5,8;,27;,2;14,95;,044;22;179;,9962;3,37;,37;10,2;5;0
white;7,3;,28;,43;1,7;,08;21;123;,9905;3,19;,42;12,8;5;0
white;6,5;,39;,23;5,4;,051;25;149;,9934;3,24;,35;10;5;0
white;7;,33;,32;1,2;,053;38;138;,9906;3,13;,28;11,2;6;0
white;7,3;,24;,39;17,95;,057;45;149;,9999;3,21;,36;8,6;5;0
white;7,3;,24;,39;17,95;,057;45;149;,9999;3,21;,36;8,6;5;0
white;6,7;,23;,39;2,5;,172;63;158;,9937;3,11;,36;9,4;6;0
white;6,7;,24;,39;2,9;,173;63;157;,9937;3,1;,34;9,4;6;0
white;7;,31;,26;7,4;,069;28;160;,9954;3,13;,46;9,8;6;0
white;6,6;,24;,27;1,4;,057;33;152;,9934;3,22;,56;9,5;6;0
white;6,7;,23;,26;1,4;,06;33;154;,9934;3,24;,56;9,5;6;0
white;7,4;,18;,31;1,4;,058;38;167;,9931;3,16;,53;10;7;1
white;6,2;,45;,26;4,4;,063;63;206;,994;3,27;,52;9,8;4;0
white;6,2;,46;,25;4,4;,066;62;207;,9939;3,25;,52;9,8;5;0
white;7;,31;,26;7,4;,069;28;160;,9954;3,13;,46;9,8;6;0
white;6,9;,19;,35;5;,067;32;150;,995;3,36;,48;9,8;5;0
white;7,2;,19;,31;1,6;,062;31;173;,9917;3,35;,44;11,7;6;0
white;6,6;,25;,29;1,1;,068;39;124;,9914;3,34;,58;11;7;1
white;6,2;,16;,33;1,1;,057;21;82;,991;3,32;,46;10,9;7;1
white;6,4;,18;,35;1;,045;39;108;,9911;3,31;,35;10,9;6;0
white;6,8;,2;,59;,9;,147;38;132;,993;3,05;,38;9,1;6;0
white;6,9;,25;,35;1,3;,039;29;191;,9908;3,13;,52;11;6;0
white;7,2;,21;,34;11,9;,043;37;213;,9962;3,09;,5;9,6;6;0
white;6;,19;,26;12,4;,048;50;147;,9972;3,3;,36;8,9;6;0
white;6,6;,38;,15;4,6;,044;25;78;,9931; ;,38;10,2;6;0
white;7,4;,2;,36;1,2;,038;44;111;,9926;3,36;,34;9,9;6;0
white;6,8;,22;,24;4,9;,092;30;123;,9951;3,03;,46;8,6;6;0
white;6;,19;,26;12,4;,048;50;147;,9972;3,3;,36;8,9;6;0
white;7;,47;,07;1,1;,035;17;151;,991;3,02;,34;10,5;5;0
white;6,6;,38;,15;4,6;,044;25;78;,9931;3,11;,38;10,2;6;0
white;7,2;,24;,27;1,4;,038;31;122;,9927;3,15;,46;10,3;6;0
